"zona","nomeZona","domicilios","familias","populacao","matriEscolar","empregos","autoParticular","viagProduz","viagAtraid","areaZona","popMasc","popFem","popTotal","popIdd_0.3","popIdd_4.6","popIdd_7.10","popIdd_11.14","popIdd_15.17","popIdd_18.22","popIdd_23.29","popIdd_30.39","popIdd_40.49","popIdd_50.59","popIdd_60.mais","renTotalZona","renMedFam","renPerCap","renMedianFam","rendF1","rendF2","rendF3","rendF4","rendF5","rendTotal","res_assCom","res_assSem","res_funPublico","res_autonomo","res_empregador","res_profLiberal","res_negFamiliar","res_trabFamiliar","res_total","emp_agro","emp_constCivil","emp_indus","emp_comercio","emp_transCarg","emp_transPass","emp_financeiro","emp_servPessoais","emp_alimenta","emp_saude","emp_educa","emp_especializ","emp_admPubli","emp_outros","emp_total","emp_foraRes","emp_dentrRes","emp_semEnd","emp_total.1","vp_metro","vp_trem","vp_bus","vp_fretado","vp_escolar","vp_dirigindoAuto","vp_passAuto","vp_taxiCom","vp_taxiNCom","vp_dirigindoMoto","vp_passMoto","vp_bike","vp_pe","vp_outros","vp_total","vt_coletivo","vt_individual","vt_motorizado","vt_naoMotorizado","vt_total","mo_traIndus","mo_trabCome","mo_trabServ","mo_educacao","mo_compras","mo_saude","mo_lazer","mo_procEmp","mo_assunPesso","mo_refeicao","mo_total","tmv_coletivo","tmv_individual","tmv_pe","tmv_bike","vtra_metro","vtra_trem","vtra_bus","vtra_fretado","vtra_escolar","vtra_dirigAuto","vtra_passAuto","vtra_taxiCon","vtra_taxiNCon","vtra_dirigMoto","vtra_passMoto","vtra_bike","vtra_pe","vtra_outros","vtra_total","vtra_coletivo","vtra_individual","vtra_motorizado","vtra_naoMotorizado","vtra_total.1","vtra_trabIndus","vtra_trabCome","vtra_trabServ","vtra_educacao","vtra_compras","vtra_saude","vtra_lazer","vtra_procEmpr","vtra_assunPesso","vtra_refeicao","vtra_total.2","tmv_somaTotalModal","tmv_mediaTotalModal","tax_rendF1","tax_rendF2","tax_rendF3","tax_rendF4","tax_rendF5","tax_vp_coletivoPub","tax_vp_coletivoPri","tax_vp_taxiCom","tax_vp_taxiNCom","tax_vp_auto","tax_vp_moto","tax_vp_pe","tax_vp_bike","tax_crianças","tax_adolecentes","tax_jovens","tax_adultos","tax_idosos","tax_popArea","tax_genFem","tax_genMas"
1,"Sé",1151,1151,3262,6363,71852,326,160503,160157,57,1907,1355,3262,191,144,217,96,116,160,426,711,404,365,431,3757212,3264,1152,2884,938,1317,660,347,0,3262,687,104,230,317,76,38,94,77,1624,0,335,690,6878,53,4525,10069,426,2244,1819,1484,16947,11907,14475,71852,71721,19,112,71852,67842,1454,29974,22,180,9597,3492,1775,539,1677,0,146,43709,97,160503,99472,17176,116648,43855,160503,1773,10927,77107,16425,6580,568,5708,3695,19363,18357,160503,67,45,9,15,65511,1454,34277,386,235,9733,3938,704,368,1677,0,146,41670,60,160157,101862,16479,118342,41816,160157,1591,11035,88680,6999,6751,1418,3222,3125,20312,17026,160157,136,34,28.755364806867,40.3740036787247,20.232985898222,10.6376456161864,0,61.8493112278275,61.8493112278275,1.1058983321184,0.335819268175673,8.15498775723818,2.17566026803237,27.232512787923,0.0909640318249503,16.9221336603311,6.49908031882281,17.9644389944819,45.3709380748007,13.2127529123237,5722.80701754386,41.5389331698345,58.4610668301655
2,"Parque Dom Pedro",2342,2342,5695,1433,51854,891,137232,138306,114,2844,2851,5695,501,108,238,286,156,298,771,643,1229,835,630,7270945,3105,1277,2884,1002,3341,1108,244,0,5695,1003,672,121,1240,69,137,40,0,3282,0,276,2139,25257,807,1994,1142,519,761,1497,508,4774,4330,7851,51854,47979,860,3015,51854,47884,8445,25897,0,40,15337,6136,172,1065,4291,24,737,26794,409,137232,82266,27434,109700,27531,137232,2468,32420,33749,6502,35642,1654,2477,1263,12701,8357,137232,78,58,12,18,45207,7142,29969,0,40,15353,6491,623,1144,4291,24,737,26228,1057,138306,82358,28982,111341,26966,138306,2260,32580,38487,4438,37999,1537,2302,1261,10889,6553,138306,166,41.5,17.5943810359965,58.6654960491659,19.4556628621598,4.28446005267779,0,59.9175119505655,59.9175119505655,0.125335198787455,0.776058062259531,15.6472251369943,4.48874897982978,19.5246006762271,0.53704675294392,14.8726953467954,7.76119402985075,18.7708516242318,47.5329236172081,11.062335381914,4995.61403508772,50.0614574187884,49.9385425812116
3,"Praça João Mendes",7100,7100,17130,2399,18547,1166,62971,62503,48,7190,9940,17130,1291,215,1411,490,689,827,2170,3751,1775,1754,2758,27827235,3919,1624,3400,3408,8150,4581,0,991,17130,4159,1268,138,1670,79,0,771,138,8223,0,852,0,2923,0,891,564,193,650,732,614,1957,6425,2745,18547,17092,413,1042,18547,20982,0,7842,0,244,6238,1178,729,552,664,0,331,23765,446,62971,29068,9807,38875,24096,62971,1604,4210,27907,10899,3127,2405,1053,388,6748,4631,62971,56,37,11,10,20980,0,8402,0,244,6267,1061,318,529,745,288,331,23337,0,62503,29626,9208,38834,23669,62503,1604,3713,29270,8727,3511,2696,1747,170,5894,5171,62503,114,28.5,19.8949211908932,47.5773496789259,26.7425569176883,0,5.7851722124927,45.7734512712201,45.7734512712201,1.1576757555065,0.876593987708628,11.776849660955,1.87070238681298,37.7395944164774,0.525638786107891,17.0286047869235,6.88266199649737,17.4956217162872,42.4985405720957,16.1004086398132,35687.5,58.0268534734384,41.9731465265616
4,"Ladeira da Memória",12588,12588,24089,1127,22554,3401,78184,78286,75,13335,10754,24089,1423,355,1065,649,590,510,2896,4381,2923,4016,5281,65571511,5209,2722,3580,2820,7197,9493,2265,2315,24089,6036,840,877,4680,174,1960,0,0,14567,148,610,812,1647,80,593,1292,646,1634,0,747,3903,3397,7045,22554,18303,2718,1533,22554,19800,0,13021,0,289,9695,3112,1426,1754,322,0,1084,27227,455,78184,33110,16764,49873,28311,78184,314,4116,35153,9989,2769,3310,6190,370,12231,3741,78184,70,30,14,15,17751,264,15459,0,289,9423,1503,859,3258,322,0,1084,27619,455,78286,33764,15820,49583,28702,78286,278,3887,35275,8028,2822,3420,5509,370,15043,3654,78286,129,32.25,11.7065880692432,29.8767072107601,39.4080285607539,9.4026319066794,9.61019552492839,41.9791773252839,41.9791773252839,1.82390258876496,2.24342576486238,16.3805893789011,3.98035403663154,34.8242607183055,1.38647293563901,11.8020673336378,5.14342646021005,14.1392336751214,46.9924031715721,21.9228693594587,32118.6666666667,44.6427830129935,55.3572169870065
5,"República",8050,8050,14956,1727,89487,1737,186220,187153,75,7313,7643,14956,884,0,508,776,355,369,1757,980,3055,2632,3639,34199117,4248,2287,3500,1907,7250,4077,1445,277,14956,2196,769,804,2082,800,2361,940,346,10298,0,934,847,15224,498,80,11943,1608,4228,2637,942,18475,6770,25302,89487,87292,301,1893,89487,78711,880,27444,0,246,13923,3723,423,3570,2546,571,1379,51896,907,186220,107281,25663,132944,53275,186220,3480,22929,95200,13741,3857,3371,7403,4971,15224,16043,186220,72,42,8,24,79320,1395,27348,0,246,14851,3788,429,3261,2017,571,1379,51641,907,187153,108310,25823,134133,53020,187153,2606,22966,108022,6403,3979,3410,5459,5249,14165,14892,187153,146,36.5,12.7507354907729,48.4755282161006,27.2599625568334,9.66167424445039,1.85209949184274,57.4777145311997,57.4777145311997,0.227150681989045,1.91708731607776,9.47588873375577,2.30587477177532,27.8681129846418,0.740521963269251,9.30730141749131,7.56218240171169,14.2150307568869,44.5774271195507,24.3313720246055,19941.3333333333,51.1032361594009,48.8967638405991
6,"Santa Ifigênia",9411,9411,21989,2039,38372,1445,109791,109351,83,9166,12823,21989,983,611,572,1022,518,911,2219,5323,2583,3608,3640,25210175,2679,1146,2324,4328,15164,1970,527,0,21989,6710,1155,291,4234,408,376,227,0,13400,0,626,1160,13498,0,1320,1450,0,1946,0,1224,3303,3923,9922,38372,35889,1262,1221,38372,24961,14759,16074,0,332,9754,2855,171,1718,3230,0,1565,34210,162,109791,56127,17890,74017,35774,109791,2279,25938,36913,14805,7962,2163,4349,0,8379,7002,109791,64,46,10,15,21375,14802,17433,0,332,9347,2622,328,1974,3149,0,1565,36262,162,109351,53942,17582,71524,37827,109351,2228,27707,35721,12882,9011,1978,1381,0,7557,10887,109351,135,33.75,19.6825685570058,68.9617536040748,8.95902496702897,2.39665287189049,0,50.8183730906905,50.8183730906905,0.155750471350111,1.56479128526018,11.4845479137634,2.60039529651793,31.159202484721,1.42543560036797,9.85037973532221,7.00350175087544,14.2343899222338,52.362544908818,16.5537314111601,26492.7710843374,58.3155213970622,41.6844786029378
7,"Luz",6342,6342,18210,6873,35048,2401,93161,93681,155,9081,9129,18210,1148,1416,0,1128,464,1519,1927,2445,1039,4197,2926,26804909,4227,1472,3988,1547,7704,8381,578,0,18210,3732,354,207,3053,475,127,681,0,8629,0,474,5097,15450,23,1124,860,427,2230,740,1608,1288,2240,3487,35048,33072,1528,448,35048,19558,12331,8075,1658,614,9956,3204,284,642,3837,669,1706,30627,0,93161,42236,18592,60828,32333,93161,8604,22146,24214,15864,9242,847,4130,0,4714,3400,93161,71,40,11,36,18300,12026,10270,1658,614,10043,3134,140,638,3837,669,1706,30605,41,93681,42868,18502,61370,32311,93681,8612,23407,23882,14546,10249,689,3900,0,4871,3524,93681,158,39.5,8.4953322350357,42.3064250411862,46.0241625480505,3.17408017572762,0,42.8977791135776,42.8977791135776,0.304848595442299,0.689129571387168,14.1260828028896,4.15731904981698,32.8753448331383,1.83123839374846,14.0801757276222,8.74244920373421,18.9236683141131,42.1801208127402,16.0680944535969,11748.3870967742,50.1317957166392,49.8682042833608
8,"Bom Retiro",3834,4111,12252,3280,15080,1748,40223,40170,143,6219,6033,12252,731,478,657,617,474,1137,1020,1617,2773,1250,1496,13815270,3361,1128,2800,2471,5288,4132,259,101,12252,3360,551,147,1815,0,0,388,171,6432,0,0,3956,1453,1852,0,0,64,393,307,1518,52,88,5397,15080,14352,361,367,15080,2097,2706,6084,801,289,4326,2079,0,636,843,0,566,19797,0,40223,11976,7883,19859,20363,40223,6018,3633,13133,12653,903,550,1093,268,1315,657,40223,64,52,13,15,1846,3078,5840,801,289,4242,1197,45,514,843,0,502,20971,0,40170,11855,6842,18697,21473,40170,5989,3966,12808,12946,881,314,1170,268,1232,598,40170,144,36,20.1681358145609,43.160300359125,33.7251061051257,2.11394058112961,0.824355207313092,27.0666036844591,27.0666036844591,0,1.58118489421475,15.9237252318325,5.16868458344728,49.2181090420903,1.4071551102603,15.230166503428,8.90466862553053,17.6052889324192,46.0333006856023,12.2102513875286,8567.83216783217,49.2409402546523,50.7590597453477
9,"Ponte Pequena",2267,2267,7456,6413,16492,487,36269,36522,130,3458,3998,7456,422,367,181,542,213,604,784,1141,896,1059,1248,7670743,3384,1029,2500,1451,2811,2533,568,93,7456,1664,415,134,1133,23,0,74,0,3442,0,256,2983,1707,328,210,903,0,385,297,900,651,2976,4896,16492,15766,587,140,16492,12042,1103,7153,0,191,5274,952,53,134,711,0,513,8006,137,36269,20489,7261,27750,8519,36269,3012,3488,12505,10036,911,340,1261,477,3477,761,36269,82,53,11,38,12567,1136,6654,0,95,5274,988,0,143,711,0,513,8344,96,36522,20453,7213,27665,8857,36522,3603,2817,13635,9671,818,331,649,477,4321,200,36522,184,46,19.4608369098712,37.7011802575107,33.9726394849785,7.61802575107296,1.24731759656652,55.965149301056,55.965149301056,0.146130304116463,0.369461523615209,17.1661749703604,2.6248311229976,22.073947448234,1.41443105682539,13.0096566523605,10.1260729613734,18.6158798283262,41.5236051502146,16.7381974248927,5735.38461538462,53.6212446351931,46.3787553648069
10,"Canindé",467,467,1619,7048,6713,134,23890,24030,83,766,853,1619,120,48,86,83,69,182,100,327,219,174,212,1026509,2198,634,2324,489,1062,68,0,0,1619,335,90,7,182,0,19,89,0,723,0,55,1358,1790,11,7,56,9,67,19,363,815,684,1479,6713,6526,83,103,6713,5706,0,8006,330,1754,1929,1413,0,29,200,0,336,4187,0,23890,15797,3570,19367,4523,23890,1538,1993,5261,9050,38,217,5403,0,377,12,23890,63,21,11,9,5758,0,7911,330,1849,1929,1404,0,147,200,0,336,4167,0,24030,15849,3679,19528,4502,24030,1538,2037,4705,9059,38,217,5435,0,377,625,24030,104,26,30.2038295243978,65.5960469425571,4.20012353304509,0,0,57.3964001674341,57.3964001674341,0,0.121389702804521,13.9891167852658,5.91460862285475,17.5261615738803,1.4064462118041,15.6886967263743,9.38851142680667,17.4181593576282,44.4718962322421,13.0945027794935,1950.60240963855,52.686843730698,47.313156269302
11,"Bom Jardim",932,932,2713,1471,3901,488,11403,11381,50,1408,1305,2713,152,204,142,67,107,253,226,553,412,183,414,3239452,3476,1194,3000,421,1268,735,169,120,2713,758,73,37,518,19,37,0,0,1444,0,0,1596,1139,344,36,0,59,0,0,0,286,0,441,3901,3363,377,161,3901,340,14,2971,0,558,2210,2429,0,19,1086,0,83,1693,0,11403,3884,5743,9627,1776,11403,1782,2362,2877,3036,182,158,107,0,845,55,11403,68,29,13,15,318,14,2983,0,558,2187,2411,22,19,1086,0,83,1700,0,11381,3874,5724,9598,1783,11381,1782,2257,2873,3198,205,146,88,0,833,0,11381,125,31.25,15.5178768890527,46.7379284924438,27.0917803169923,6.22926649465536,4.42314780685588,29.158993247391,29.158993247391,0,0.16662281855652,40.6822765938788,21.3014119091467,14.8469700955889,0.727878628431115,18.3560633984519,6.41356431994102,17.6557316623664,42.3147806855879,15.2598599336528,5426,48.1017323995577,51.8982676004423
12,"Pari",4741,4741,14381,1928,21068,2085,46136,44924,140,7182,7199,14381,1095,363,802,733,427,820,1861,1770,2259,1812,2439,16593524,3500,1154,2589,1546,8595,2456,1366,418,14381,2588,1109,0,1459,261,0,1479,0,6896,0,7,3135,10794,1148,28,0,7,1760,1450,305,311,56,2065,21068,19708,1117,243,21068,4014,6032,7913,68,747,4842,2875,11,461,1290,0,1293,15515,1077,46136,18773,10554,29328,16808,46136,5870,14308,11076,6547,2513,1536,1041,403,2123,719,46136,80,40,11,19,3720,5533,7963,68,747,4770,3025,0,214,1290,0,1293,15225,1077,44924,18031,10375,28405,16518,44924,5278,15756,10768,5954,2538,1022,280,403,2231,691,44924,150,37.5,10.7502955288228,59.7663583895418,17.0780891454002,9.49864404422502,2.90661289201029,38.9262181376799,38.9262181376799,0.0238425524536154,0.999219698283336,16.7266342985955,6.23157620946766,33.6288364834403,2.80258366568406,15.7151797510604,8.0661984562965,18.6426535011473,40.6160906751964,16.9598776162993,10272.1428571429,50.0591057645505,49.9408942354495
13,"João Teodoro",423,423,1435,266,9281,103,25131,24562,39,706,729,1435,100,63,0,135,41,116,146,178,283,193,181,1155117,2731,805,2550,313,913,209,0,0,1435,236,168,15,337,12,11,55,15,849,0,524,1117,6930,0,0,0,11,69,0,11,0,0,619,9281,9041,174,66,9281,1970,6276,3933,241,34,3610,4257,186,466,0,0,38,4120,0,25131,12454,8519,20972,4158,25131,2546,9701,2517,1124,4850,46,43,172,3775,356,25131,88,29,10,10,2067,6333,3431,241,34,3318,3964,144,813,0,0,38,4178,0,24562,12106,8239,20345,4217,24562,2546,10186,2424,719,4307,46,62,172,3732,367,24562,137,34.25,21.8118466898955,63.6236933797909,14.5644599303136,0,0,48.462058811826,48.462058811826,0.740121761967291,1.85428355417612,31.3039672118101,16.939238390832,16.3940949425013,0.151207671799769,11.3588850174216,12.2648083623693,18.2578397212544,45.5749128919861,12.6132404181185,3679.48717948718,50.801393728223,49.198606271777
14,"Oriente",1104,1104,3337,1959,27939,329,66496,66780,70,1373,1964,3337,254,64,202,172,54,230,420,466,533,532,410,3254031,2947,975,2733,328,2431,579,0,0,3337,1112,183,38,597,66,40,112,0,2148,0,322,6909,15586,237,47,826,0,845,825,0,549,16,1778,27939,27714,14,211,27939,5992,13684,15006,1544,148,7268,5630,121,1072,457,0,82,15493,0,66496,36373,14547,50921,15575,66496,9133,25270,7604,3672,14569,404,252,1440,1481,2673,66496,78,58,10,11,6745,13364,14486,1544,148,7847,5656,0,999,457,13,82,15439,0,66780,36287,14972,51259,15521,66780,9182,25039,7211,3631,14504,367,252,1440,1481,3675,66780,157,39.25,9.82918789331735,72.8498651483368,17.3509139946059,0,0,52.156520692974,52.156520692974,0.18196583253128,1.6121270452358,19.3966554379211,8.46667468719923,23.299145813282,0.123315688161694,15.5828588552592,6.77255019478574,19.478573569074,45.8795325142343,12.2864848666467,4767.14285714286,58.8552592148637,41.1447407851363
15,"Bresser",3148,3247,8427,162,14171,897,36167,36241,77,4176,4251,8427,524,882,189,153,0,888,891,1632,892,1285,1091,8881359,2735,1054,2500,2377,4384,1382,284,0,8427,1691,695,0,2153,0,47,298,158,5042,0,310,3492,2954,0,3813,73,17,60,657,0,348,0,2448,14171,12970,610,592,14171,8933,5499,6337,0,858,3502,1733,0,0,480,0,253,8571,0,36167,21628,5715,27342,8824,36167,4679,7558,9862,3313,4641,740,216,143,4121,894,36167,79,35,14,14,8374,5811,6535,0,772,3171,1848,0,0,480,0,253,8997,0,36241,21491,5500,26991,9250,36241,4259,7392,11167,2991,4371,942,211,143,3861,905,36241,142,35.5,28.2069538388513,52.0232585736324,16.3996677346624,3.37011985285392,0,57.4252771863854,57.4252771863854,0,0,14.4745209721569,4.79166090635109,23.6983990930959,0.699532723200708,18.9272576243028,1.81559273762905,21.1107155571378,45.1999525335232,12.9464815474071,10944.1558441558,50.4449982200071,49.5550017799929
16,"Brás",4589,4589,12117,3420,18484,2246,48647,48197,109,4716,7401,12117,475,831,650,557,473,514,1571,1883,1607,1873,1685,14719349,3208,1215,3044,220,9697,2201,0,0,12117,2954,847,576,980,134,114,724,72,6399,0,185,1749,3151,159,58,1764,60,1400,0,735,933,2582,5709,18484,17545,881,58,18484,14052,5118,5599,0,722,6492,685,126,265,147,0,1046,14023,371,48647,25492,8086,33578,15069,48647,1996,6413,18780,7090,4877,832,1196,326,4486,2651,48647,68,43,12,28,13817,4498,6246,0,644,6294,383,122,399,147,0,1046,14232,371,48197,25205,7715,32920,15278,48197,2305,6690,20292,6572,4687,832,1039,326,4084,1371,48197,151,37.75,1.81563093174878,80.0280597507634,18.1645621853594,0,0,50.9157810348017,50.9157810348017,0.259008777519683,0.544740682878698,14.7532221925299,1.40810327461097,28.8260324377659,2.15018397845705,16.142609556821,8.50045390773294,17.2072295122555,44.2601303953124,13.9060823636214,11116.5137614679,61.0794751176034,38.9205248823966
17,"Gasômetro",2411,2430,6980,5504,9361,597,31625,31507,69,3390,3590,6980,505,199,478,266,222,482,770,1580,959,724,796,7399420,3045,1060,3000,1139,3690,1963,188,0,6980,1944,435,193,1275,137,0,56,0,4040,0,0,131,6201,0,39,0,165,537,31,528,123,0,1607,9361,8476,357,528,9361,6416,2533,5882,24,103,3745,706,170,376,636,85,295,10653,0,31625,14957,5719,20676,10949,31625,1411,9166,6182,9291,2113,229,890,0,1574,768,31625,72,37,11,17,7267,1381,6384,24,181,3553,651,94,376,636,72,295,10592,0,31507,15237,5384,20620,10887,31507,1102,9831,5605,9003,2106,714,405,0,1651,1089,31507,137,34.25,16.3180515759312,52.865329512894,28.1232091690544,2.69340974212034,0,46.896442687747,46.896442687747,0.537549407114625,1.18893280632411,14.0743083003953,2.50118577075099,33.6853754940711,0.932806324110672,16.9340974212034,6.99140401146132,17.9369627507163,46.7478510028653,11.4040114613181,10115.9420289855,51.432664756447,48.567335243553
18,"Independência",6592,6592,19240,3762,24090,3672,74507,73238,254,9962,9278,19240,1218,677,550,926,860,723,2008,4270,2407,2052,3550,33426649,5071,1737,3778,1846,7708,5919,1866,1900,19240,4580,793,709,3239,346,411,219,0,10296,0,807,6950,4421,157,46,2006,0,719,1230,794,1414,1474,4071,24090,22613,845,632,24090,7747,4368,16377,319,524,16255,5892,330,1333,178,0,545,19707,932,74507,29335,24921,54255,20252,74507,10003,9860,22077,15825,1960,4141,2075,0,5725,2842,74507,76,31,13,19,7603,3206,16743,319,648,15734,5667,330,1385,178,0,545,19947,932,73238,28519,24226,52745,20492,73238,10491,10484,21612,14912,2224,4082,1800,0,4778,2856,73238,139,34.75,9.59459459459459,40.0623700623701,30.7640332640333,9.6985446985447,9.87525987525988,38.2407022158992,38.2407022158992,0.442911404297583,1.78909364220811,29.7247238514502,7.90798180036775,26.4498637711893,0.731474894976311,12.7079002079002,9.28274428274428,14.1943866943867,45.3690228690229,18.4511434511435,7574.8031496063,48.2224532224532,51.7775467775468
19,"Cambuci",7490,7490,20732,4590,16448,5235,57680,57903,140,9382,11350,20732,761,551,1398,922,579,1562,1728,3307,2584,3046,4293,39806787,5315,1920,4949,1321,6052,9723,2589,1047,20732,4783,1233,468,2798,0,473,1600,0,11357,0,0,578,4299,0,183,401,800,936,2084,1430,1260,1173,3304,16448,13583,1943,921,16448,4251,329,11576,156,1402,15890,9082,294,1109,2130,0,226,11235,0,57680,17714,28505,46219,11461,57680,1520,6859,19684,16525,1670,7442,1456,0,2362,162,57680,66,24,11,90,4151,329,12593,156,1322,15931,8953,256,821,2251,0,226,10914,0,57903,18551,28212,46762,11140,57903,1886,6821,19353,16725,1519,8943,1421,0,1010,225,57903,191,47.75,6.37179239822497,29.1915878834652,46.8985143739147,12.4879413467104,5.05016399768474,28.0097087378641,28.0097087378641,0.509708737864078,1.92267683772538,43.2940360610264,15.745492371706,19.4781553398058,0.391816920943135,13.0715801659271,7.24001543507621,15.8691877291144,43.1072737796643,20.7071194289022,14808.5714285714,54.7462859347868,45.2537140652132
20,"Glicério",9042,9042,23063,3614,8159,6862,47083,46030,108,11285,11778,23063,1263,538,260,1359,323,1128,2548,4147,4958,2655,3884,53798444,5950,2333,4800,1932,5144,7154,6751,2081,23063,6901,971,1077,2816,593,1485,0,0,13843,0,77,38,1531,0,448,0,365,396,737,982,175,617,2792,8159,4469,1683,2007,8159,4640,576,11132,0,888,9708,3226,112,948,1209,265,212,14167,0,47083,17236,15468,32704,14379,47083,1530,3406,12310,15125,1891,3201,2355,620,5967,678,47083,49,21,15,10,4074,576,10082,0,888,9983,3271,191,1060,1209,0,212,14483,0,46030,15621,15714,31335,14694,46030,1618,2938,11363,13544,3584,2316,2817,615,6177,1058,46030,95,23.75,8.37705415600746,22.3041234878377,31.0193816936218,29.2719941031089,9.02311061006808,34.7216617462778,34.7216617462778,0.237877790285241,2.01346558205722,27.4706369602617,7.41456576683729,30.0894165622412,0.450268674468492,8.93639162294584,7.29306681697958,15.9389498330659,50.9907644278715,16.8408272991371,21354.6296296296,51.0688115162815,48.9311884837185
21,"Aclimação",7404,7404,18691,3860,9685,5517,44431,44318,114,9503,9188,18691,908,342,500,1021,593,1014,1635,2714,1840,3986,4139,43730165,5906,2340,6143,1707,2294,7530,5677,1484,18691,3772,575,773,2357,502,1707,664,0,10350,0,219,36,579,0,0,273,2500,760,209,814,596,0,3699,9685,6854,1932,899,9685,5046,0,7801,0,471,10512,6370,531,2340,1495,0,160,9599,106,44431,13318,21354,34672,9759,44431,359,1891,17323,15455,3482,1445,1681,201,2355,238,44431,54,20,9,30,5696,0,7349,0,543,10352,5612,1243,2373,1495,0,160,9389,106,44318,13588,21181,34769,9549,44318,359,1492,17276,16065,2631,2337,1471,630,1819,238,44318,113,28.25,9.13273768123696,12.2732866085282,40.2867690332245,30.3729067465625,7.93965009897812,28.9144966352322,28.9144966352322,1.19511152123517,5.26659314442619,37.9959937881209,14.3368368931602,21.6042852963021,0.360108932952218,9.36279492804023,8.63517200791825,14.1725964367878,45.6904392488363,22.1443475469477,16395.6140350877,49.1573484564764,50.8426515435236
22,"Pires da Mota",5996,5996,13623,4513,8425,3263,37043,37239,50,7007,6616,13623,468,305,492,755,315,796,1251,2642,1757,2126,2717,32541950,5427,2389,4000,636,6010,4824,1093,1060,13623,3735,290,887,2211,144,269,32,0,7567,0,59,95,1184,0,436,0,59,32,1622,1187,1047,585,2118,8425,7098,709,618,8425,11279,0,3589,0,187,5460,2890,0,170,1153,0,200,11814,300,37043,15056,9973,25028,12015,37043,630,1582,10049,14398,3636,3218,383,96,2424,628,37043,58,31,16,29,10465,0,4784,0,187,5528,2837,67,265,1032,0,200,11573,300,37239,15436,10029,25465,11773,37239,459,1044,11612,14549,3058,3238,1025,96,1954,203,37239,134,33.5,4.66857520369963,44.1165675695515,35.4107024884387,8.0231960654775,7.78095867283271,40.1371379207947,40.1371379207947,0,0.458926112895824,22.5413708392949,7.801743919229,31.8926652808898,0.539913073995087,9.28576671805036,7.85436394333113,15.0260588710269,47.8969390002202,19.9442119944212,27246,48.5649269617559,51.4350730382441
23,"Centro Cultural",2553,2553,5332,33076,17915,1279,74016,73688,33,2574,2758,5332,220,294,138,138,75,261,588,1346,620,409,1241,10538207,4128,1976,3580,63,2954,1878,438,0,5332,1757,325,254,644,0,112,106,0,3198,0,0,0,2003,0,1233,0,0,1367,7702,2489,200,1307,1613,17915,17578,184,153,17915,38573,0,6966,155,148,9449,3432,779,273,2131,0,234,11875,0,74016,45843,16064,61907,12109,74016,1695,4309,22824,27081,828,8510,2818,500,2891,2560,74016,76,47,10,19,39167,0,7410,155,148,9449,2468,974,587,2131,0,234,10963,0,73688,46880,15610,62490,11197,73688,831,5898,19902,29798,519,9225,2268,500,1809,2938,73688,152,38,1.18154538634659,55.4013503375844,35.2213053263316,8.2145536384096,0,61.5258862948552,61.5258862948552,1.05247514051016,0.368839169909209,17.4029939472546,4.63683527885863,16.0438283614354,0.316147859922179,12.2280570142536,3.99474868717179,15.9227306826707,44.5423855963991,23.2745686421605,16157.5757575758,51.7254313578395,48.2745686421605
24,"Liberdade",5364,5364,11423,53168,17996,1659,89698,89534,59,5178,6245,11423,324,537,600,233,196,749,1035,2517,1398,839,2994,19459948,3628,1704,3213,1537,5289,3968,135,494,11423,2223,814,521,896,147,204,1012,0,5817,0,525,0,2271,27,251,210,577,1732,1676,1686,1402,2662,4978,17996,17419,417,160,17996,46827,0,9401,0,656,8940,1829,332,504,2188,250,339,18432,0,89698,56884,14043,70927,18771,89698,1391,3395,21697,48289,3714,2297,3400,1016,3364,1135,89698,66,34,11,27,42920,0,11653,0,288,8986,2192,375,421,2143,515,339,19667,37,89534,54861,14668,69529,20005,89534,1645,3586,21547,49409,2503,2490,2532,587,3927,1307,89534,138,34.5,13.4553094633634,46.3013218944235,34.7369342554495,1.18182614024337,4.32460824652018,62.6859015808602,62.6859015808602,0.370130883631742,0.561885437802404,12.0058418247899,2.31777743093491,20.5489531539165,0.377934848045664,12.7899851177449,3.75558084566226,15.6176135866235,41.6177886719776,26.2102775102863,19361.0169491525,54.6704018208877,45.3295981791123
25,"Treze de Maio",7996,7996,18401,4010,12142,2582,40630,40829,43,10187,8214,18401,860,733,718,223,415,600,1921,4433,3096,2652,2750,29020381,3629,1577,3044,2726,7999,6607,326,743,18401,7076,1356,308,2883,0,143,173,0,11938,0,1297,347,407,254,0,0,65,1921,19,383,1814,0,5635,12142,9809,1613,720,12142,5430,0,8740,14,0,3719,1648,550,1093,1008,0,570,17860,0,40630,14183,8016,22200,18431,40630,1805,1633,18779,12030,2191,818,880,0,1494,1000,40630,64,25,15,23,5270,0,8117,14,97,3719,1555,418,1114,1008,0,570,18538,409,40829,13498,8223,21721,19108,40829,1957,1346,19551,11491,1789,656,1842,0,1305,892,40829,127,31.75,14.8144122602032,43.4704635617629,35.9056573012336,1.77164284549753,4.03782403130265,34.8757076052178,34.8757076052178,1.35367954713266,2.69013044548363,13.2094511444745,4.0561161703175,43.9576667487079,1.40290425793748,12.5591000489104,3.46720286940927,13.7003423726971,55.3285147546329,14.9448399543503,42793.023255814,44.6388783218303,55.3611216781697
