"zona","nomeZona","domicilios","familias","populacao","matriEscolar","empregos","autoParticular","viagProduz","viagAtraid","areaZona","popMasc","popFem","popTotal","popIdd_0.3","popIdd_4.6","popIdd_7.10","popIdd_11.14","popIdd_15.17","popIdd_18.22","popIdd_23.29","popIdd_30.39","popIdd_40.49","popIdd_50.59","popIdd_60.mais","renTotalZona","renMedFam","renPerCap","renMedianFam","rendF1","rendF2","rendF3","rendF4","rendF5","rendTotal","res_assCom","res_assSem","res_funPublico","res_autonomo","res_empregador","res_profLiberal","res_negFamiliar","res_trabFamiliar","res_total","emp_agro","emp_constCivil","emp_indus","emp_comercio","emp_transCarg","emp_transPass","emp_financeiro","emp_servPessoais","emp_alimenta","emp_saude","emp_educa","emp_especializ","emp_admPubli","emp_outros","emp_total","emp_foraRes","emp_dentrRes","emp_semEnd","emp_total.1","vp_metro","vp_trem","vp_bus","vp_fretado","vp_escolar","vp_dirigindoAuto","vp_passAuto","vp_taxiCom","vp_taxiNCom","vp_dirigindoMoto","vp_passMoto","vp_bike","vp_pe","vp_outros","vp_total","vt_coletivo","vt_individual","vt_motorizado","vt_naoMotorizado","vt_total","mo_traIndus","mo_trabCome","mo_trabServ","mo_educacao","mo_compras","mo_saude","mo_lazer","mo_procEmp","mo_assunPesso","mo_refeicao","mo_total","tmv_coletivo","tmv_individual","tmv_pe","tmv_bike","vtra_metro","vtra_trem","vtra_bus","vtra_fretado","vtra_escolar","vtra_dirigAuto","vtra_passAuto","vtra_taxiCon","vtra_taxiNCon","vtra_dirigMoto","vtra_passMoto","vtra_bike","vtra_pe","vtra_outros","vtra_total","vtra_coletivo","vtra_individual","vtra_motorizado","vtra_naoMotorizado","vtra_total.1","vtra_trabIndus","vtra_trabCome","vtra_trabServ","vtra_educacao","vtra_compras","vtra_saude","vtra_lazer","vtra_procEmpr","vtra_assunPesso","vtra_refeicao","vtra_total.2","tmv_somaTotalModal","tmv_mediaTotalModal","tax_rendF1","tax_rendF2","tax_rendF3","tax_rendF4","tax_rendF5","tax_vp_coletivoPub","tax_vp_coletivoPri","tax_vp_taxiCom","tax_vp_taxiNCom","tax_vp_auto","tax_vp_moto","tax_vp_pe","tax_vp_bike","tax_crianças","tax_adolecentes","tax_jovens","tax_adultos","tax_idosos","tax_popArea","tax_genFem","tax_genMas"
460,"Taboão da Serra",20200,20678,59135,23166,33351,18625,124323,124760,527,30498,28637,59135,4824,1886,1920,4551,3452,2842,8082,8704,10034,5839,7002,79546059,3847,1345,3213,6262,27145,19551,5174,1003,59135,15647,1931,0,5452,0,0,619,149,23798,0,0,2412,2623,766,0,0,1398,1070,0,2668,0,0,2163,13101,26899,3143,3309,33351,4876,1184,30870,955,5998,27163,9464,0,676,5546,0,488,36300,803,124323,43883,43652,87535,36788,124323,2563,14203,39065,44652,7155,9288,1325,0,5795,277,124323,58,23,16,40,6836,308,29936,1374,7183,27744,8141,0,676,5546,0,488,35725,803,124760,45637,42910,88547,36214,124760,2982,14145,38027,45612,7084,9288,1522,0,6077,24,124760,137,34.25,10.5893295002959,45.9034412784307,33.0616386234886,8.74947154815253,1.6961190496322,29.7048816389566,29.7048816389566,0,0.543744922500261,29.4611616515045,7.61242891500366,29.198137110591,0.392525920384804,14.5937262196669,13.5334404329078,18.4729855415575,41.5608353766805,11.8407034750993,11221.0626185958,48.4264817789803,51.5735182210197
461,"Jardim Irapuã",15849,15849,48079,8022,14889,9630,78318,77726,407,20395,27684,48079,2793,3304,2207,2413,1531,3552,6604,6122,6051,6293,7209,52350165,3303,1089,3213,5441,27015,14091,1531,0,48079,17613,708,4380,6795,0,0,0,0,29496,0,2167,678,10973,492,708,348,2336,977,499,2576,3094,2641,5861,33351,9470,338,5082,14889,4614,0,11802,243,2710,16111,7823,0,676,4209,962,1052,28023,92,78318,19369,29874,49243,29075,78318,4407,7189,20230,32531,2212,2341,4173,803,4348,85,78318,59,18,12,42,4692,312,10442,243,3113,15837,8301,0,970,4209,439,1052,28023,92,77726,18802,29848,48650,29076,77726,4804,7137,20077,32089,2703,2341,3339,803,4348,85,77726,131,32.75,11.3167911146238,56.1887726450217,29.3080138937998,3.18434243640675,0,20.9606986899563,20.9606986899563,0,0.863147679971399,30.5600245154371,11.2170893025869,35.7810465027197,1.34324165581348,17.2715738680089,8.20316562324508,21.1235674618856,38.4076207907818,14.9940722560785,11813.0221130221,57.5802325339545,42.4197674660455
462,"Parque Pinheiros",31321,31321,100971,16326,17793,17458,147085,148629,723,45911,55060,100971,8237,2496,3187,8586,5865,10139,8542,16061,13795,12869,11193,96682063,3087,958,2884,22288,57477,18341,2864,0,100971,15375,1997,1683,4594,0,0,0,0,23650,0,1989,2252,2371,535,429,0,69,273,359,387,0,1162,5063,14889,11437,1335,5021,17793,6334,0,31497,1321,5911,16728,11446,0,0,7878,439,2046,63485,0,147085,45063,36491,81554,65531,147085,7341,12277,41329,51545,4974,8843,13670,287,6819,0,147085,54,24,12,30,6673,0,30793,1321,5508,16728,10697,0,0,7878,439,2046,66546,0,148629,44296,35742,80038,68591,148629,7442,12277,39995,52852,4974,8843,13517,287,7653,789,148629,120,30,22.0736647156114,56.9242653831298,18.1646215249923,2.83645799288905,0,25.7205017506884,25.7205017506884,0,0,19.1549104259442,8.08036169561818,43.1621171431485,1.39103239623347,13.7861366134831,14.3120301868853,18.5013518733102,42.3141297996454,11.0853611432986,13965.5601659751,54.530508759941,45.469491240059
463,"Parque Industrial",20619,20619,66834,18521,18392,9732,117019,114543,386,27448,39386,66834,3708,3917,1133,6140,3548,6971,5729,15068,5870,6659,8093,55117612,2673,825,2589,18330,40070,8434,0,0,66834,27386,3062,2071,11338,0,0,736,0,44591,0,2762,1110,2014,1466,0,0,300,1336,311,2622,1383,259,4230,17793,13451,613,4328,18392,3214,0,16800,0,7795,9851,5136,0,0,5373,563,0,68288,0,117019,27808,20923,48731,68288,117019,4357,7569,32292,55941,4549,1393,2930,0,7988,0,117019,45,26,10,0,3214,0,18103,0,7795,9539,5428,0,0,5373,0,0,65091,0,114543,29111,20341,49452,65091,114543,4357,7174,33073,55802,4549,1393,2204,0,5991,0,114543,81,20.25,27.4261603375527,59.9545141694347,12.6193254930125,0,0,17.1032054623608,17.1032054623608,0,0,12.8073218878985,4.87014929199532,58.3563352959776,0,13.1041086871951,14.4956160038304,19.0023042164168,41.291857437831,12.1091061435796,17314.5077720207,58.9310829817159,41.0689170182841
464,"Santo Eduardo",23135,23135,72698,17328,16507,13401,116762,115711,319,34721,37977,72698,3852,4029,4519,4519,3219,8353,6703,13035,9087,7374,8009,63901637,2762,879,2170,21709,31038,18244,1708,0,72698,12918,1217,1139,10309,876,0,1178,0,27637,0,1018,2086,3305,0,0,0,2138,951,1014,1338,2130,912,3500,18392,7699,4339,4469,16507,7301,0,18522,0,3792,15447,6231,0,0,8419,3688,0,53362,0,116762,29614,33785,63399,53362,116762,2997,8219,33007,42732,6432,5131,14580,365,3299,0,116762,68,29,11,0,7976,0,18335,0,3792,14339,4640,0,0,8884,3688,0,54057,0,115711,30103,31551,61654,54057,115711,2997,7696,31015,43866,6832,5131,13751,365,3595,464,115711,108,27,29.861894412501,42.6944345098902,25.0956009793942,2.34944565187488,0,22.1159281273017,22.1159281273017,0,0,18.5659718058958,8.49505832376972,45.7015124783748,0,17.0568653883188,10.6440342237751,20.7103359102039,40.5733307656332,11.0168092657295,22789.34169279,52.239401359047,47.760598640953
465,"São Marcos",35640,37367,116026,27077,16162,28797,186860,186180,1868,55854,60172,116026,5221,8457,4851,8471,5638,12875,10654,16020,23736,7440,12662,108744246,2910,937,2733,28083,56097,30036,1810,0,116026,17119,3368,2900,10456,0,0,1341,0,35183,0,2309,1184,2989,0,372,0,0,2121,0,1272,192,596,5472,16507,12301,669,3192,16162,13523,651,22495,1143,10965,30429,20629,0,529,9465,1944,3300,70551,1235,186860,48778,64232,113009,73851,186860,10739,12004,54268,85531,4664,6226,9699,679,3051,0,186860,72,22,12,17,15665,0,21873,796,10965,30429,19715,0,529,9465,1944,3300,70551,948,186180,49299,63030,112329,73851,186180,10663,11109,51766,86471,6188,6434,8811,679,4060,0,186180,123,30.75,24.2040577112027,48.3486459931395,25.8873011221623,1.5599951734956,0,19.6237825109708,19.6237825109708,0,0.283099646794391,27.3241999357808,12.080166969924,37.7560740661458,1.76602804238467,15.969696447348,12.1602054711875,20.2790753796563,40.6770896178443,10.9130712081775,6211.24197002141,51.8607898229707,48.1392101770293
466,"Embu das Artes",17536,17536,55726,20377,38483,7963,137721,137821,1469,29524,26202,55726,1994,3091,2832,5052,3292,4327,6390,9527,8430,5118,5674,42942786,2449,771,2400,16561,31335,7830,0,0,55726,36423,3381,1015,5935,0,0,548,467,47769,0,1623,2465,4358,690,682,0,596,714,0,1932,763,0,2339,16162,35094,215,3174,38483,2634,0,28410,2628,9066,27300,10966,0,630,5669,1186,1143,47315,773,137721,42739,46524,89263,48458,137721,21533,13317,37655,46784,8349,867,3536,0,3893,1787,137721,44,35,14,30,2634,0,29108,2628,7577,27884,12161,0,630,5204,1186,1143,46892,773,137821,41947,47839,89786,48035,137821,21644,11975,37556,49142,8349,1162,3398,0,3914,681,137821,123,30.75,29.7186232638266,56.2304848724114,14.050891863762,0,0,22.5412246498355,22.5412246498355,0,0.457446576774784,27.7851598521649,8.82363619201139,34.3556901271411,0.829938789291393,14.2070128844704,14.9732620320856,19.2315974589958,41.4079603775616,10.1819617413775,3793.46494213751,47.0193446506119,52.9806553493881
467,"Ressaca",6294,6294,19597,3940,10787,5089,32979,33095,3399,10501,9096,19597,1100,1179,895,1386,917,1572,2437,3037,2372,2746,1955,20279737,3222,1035,3213,4917,11237,2697,522,223,19597,12367,2296,1865,7334,215,0,831,0,24908,50,2077,11351,5376,4682,2885,0,300,1241,831,1178,0,5045,3466,38483,7696,961,2131,10787,1896,0,6511,244,4036,6966,3361,0,0,568,0,159,9238,0,32979,12687,10895,23582,9397,32979,3682,2157,9828,14475,1030,407,159,83,1086,72,32979,62,29,11,40,981,0,7288,244,4036,7020,3425,0,0,568,0,159,9374,0,33095,12549,11013,23562,9533,33095,4400,2157,11237,12498,1030,359,159,83,1172,0,33095,142,35.5,25.0905750880237,57.3404092463132,13.7623105577384,2.66367301117518,1.13792927488901,25.491979744686,25.491979744686,0,0,31.3138663998302,10.1913338791352,28.0117650626156,0.482124988629128,16.1963565851916,11.7517987447058,20.4572128386998,41.6135122722866,9.9760167372557,576.551927037364,46.4152676430066,53.5847323569934
468,"Itapecerica da Serra",46677,46677,152618,38791,47801,24690,259992,257786,7479,69403,83215,152618,9120,6345,7860,11636,6534,16503,17054,18702,22558,17265,19042,122338720,2621,802,2453,36776,88959,26883,0,0,152618,5436,946,124,2733,0,0,900,0,10139,308,917,2185,781,1490,799,0,136,311,48,309,73,0,3428,10787,28695,7288,11818,47801,15856,354,49166,76,20376,41601,32972,0,539,11648,2633,4717,79768,287,259992,85827,89680,175507,84485,259992,19285,25591,50388,106334,6105,11914,18863,165,20297,1049,259992,58,21,14,13,15017,0,47373,76,20210,42002,33631,0,539,11572,3157,3958,79964,287,257786,82675,91188,173863,83922,257786,17770,26080,45245,110797,5025,11344,20117,165,20981,260,257786,106,26.5,24.0967644707702,58.2886684401578,17.6145670890721,0,0,25.145389088895,25.145389088895,0,0.207314071202191,28.6828056247885,13.6946521431429,30.680944029047,1.81428659343364,15.2832562345202,11.9055419413175,21.9875768258004,38.347377111481,12.4769031175877,2040.6204037973,54.5250232606901,45.4749767393099
469,"Jardim Petrópolis",1764,1764,5258,793,1353,1696,6658,6702,4132,3013,2245,5258,214,207,89,695,447,354,579,983,370,812,508,4401442,2495,837,2202,1991,2545,630,92,0,5258,34762,2409,3392,24745,462,698,3893,0,70360,0,6701,6249,9286,813,2368,0,2380,2849,1738,3894,1155,1242,9126,47801,634,307,412,1353,240,0,867,76,1349,1392,484,0,0,237,0,0,2013,0,6658,2532,2113,4645,2013,6658,747,416,1835,3119,150,120,76,0,195,0,6658,46,33,21,0,133,0,942,76,1515,1392,318,0,0,313,0,0,2013,0,6702,2666,2023,4689,2013,6702,747,444,1918,2904,196,120,177,0,195,0,6702,100,25,37.8661087866109,48.402434385698,11.9817421072651,1.74971472042602,0,16.6266145989787,16.6266145989787,0,0,28.1766296185041,7.26945028537098,30.2343045959748,0,9.6995055154051,21.7192848992012,17.7443895017117,41.1753518448079,9.6614682388741,127.250726040658,42.6968429060479,57.3031570939521
