zona,nomeZona,domicilios,familias,populacao,matriEscolar,empregos,autoParticular,viagProduz,viagAtraid,areaZona,popMasc,popFem,popTotal,renTotalZona,renMedFam,renPerCap,renMedianFam,rendF1,rendF2,rendF3,rendF4,rendF5,rendTotal,res_assCom,res_assSem,res_funPublico,res_autonomo,res_empregador,res_profLiberal,res_negFamiliar,res_trabFamiliar,res_total,emp_agro,emp_constCivil,emp_indus,emp_comercio,emp_transCarg,emp_transPass,emp_financeiro,emp_servPessoais,emp_alimenta,emp_saude,emp_educa,emp_especializ,emp_admPubli,emp_outros,emp_total,emp_foraRes,emp_dentrRes,emp_semEnd,emp_total,vp_metro,vp_trem,vp_bus,vp_fretado,vp_escolar,vp_dirigindoAuto,vp_passAuto,vp_taxiCom,vp_taxiNCom,vp_dirigindoMoto,vp_passMoto,vp_bike,vp_pe,vp_outros,vp_total,vt_coletivo,vt_individual,vt_motorizado,vt_naoMotorizado,vt_total,mo_traIndus,mo_trabCome,mo_trabServ,mo_educacao,mo_compras,mo_saude,mo_lazer,mo_procEmp,mo_assunPesso,mo_refeicao,mo_total,tmv_coletivo,tmv_individual,tmv_pe,tmv_bike,vtra_metro,vtra_trem,vtra_bus,vtra_fretado,vtra_escolar,vtra_dirigAuto,vtra_passAuto,vtra_taxiCon,vtra_taxiNCon,vtra_dirigMoto,vtra_passMoto,vtra_bike,vtra_pe,vtra_outros,vtra_total,vtra_coletivo,vtra_individual,vtra_motorizado,vtra_naoMotorizado,vtra_total,vtra_trabIndus,vtra_trabCome,vtra_trabServ,vtra_educacao,vtra_compras,vtra_saude,vtra_lazer,vtra_procEmpr,vtra_assunPesso,vtra_refeicao,vtra_total
134,Santa Terezinha,10038,10038,28827,9580,14706,8768,74018,72693,251,13245,15582,28827,56586447,5637,1963,4689,3736,6318,10715,5370,2688,28827,8574,859,1423,3107,743,1943,1744,0,18392,0,51,223,5296,0,0,903,595,1485,2355,694,2763,643,5358,20366,11093,2662,951,14706,5724,0,16128,0,2989,20992,12408,0,2191,1297,392,0,11163,735,74018,24840,38014,62855,11163,74018,2812,3721,22943,25941,3552,2978,3085,0,7731,1256,74018,56,19,11,0,5000,0,15518,0,2953,20851,12199,0,2331,1297,0,0,12176,367,72693,23470,37046,60517,12176,72693,2559,3223,22744,27233,3287,2678,2841,0,7607,522,72693
135,Jardim São Paulo,13643,15632,38163,8503,17445,9480,83855,83665,291,20445,17718,38163,78038072,4992,2045,4443,4270,5905,18431,6692,2865,38163,5128,864,2234,4166,186,579,1476,184,14816,0,406,1288,1383,0,205,25,1224,620,2482,1466,443,0,5163,14706,13575,1387,2483,17445,9476,0,17482,0,4990,18847,6857,340,357,1981,0,1271,22254,0,83855,31949,28381,60330,23525,83855,3109,4686,31511,23279,3377,5765,5806,0,4571,1752,83855,47,22,12,20,8146,0,17182,0,4990,18876,7234,192,1997,1981,0,1271,21796,0,83665,30318,30280,60598,23067,83665,3587,4990,33646,19268,2859,6509,6948,0,4727,1132,83665
136,Casa Verde,11225,11225,32570,10752,23471,8835,90249,90271,325,14261,18309,32570,46970261,4184,1442,3254,7002,13018,8272,3618,660,32570,10692,219,824,3416,0,1862,1810,0,18823,0,499,420,2649,0,686,341,397,2262,2054,1039,452,0,6647,17445,20379,1257,1836,23471,6003,2501,14215,659,5250,20446,9649,311,1356,2422,0,423,27014,0,90249,28628,34185,62812,27437,90249,5676,5952,28204,30363,2789,2107,5499,541,6761,2357,90249,59,24,10,50,5398,2501,15104,659,4638,20397,8653,168,1394,2422,0,423,28515,0,90271,28300,33033,61333,28938,90271,5930,6839,27137,30958,3470,1609,4570,783,6872,2104,90271
137,Parque Peruche,17062,17062,53439,7935,20887,11768,106219,106878,392,27376,26063,53439,70240860,4117,1314,3778,6998,19344,23372,2160,1565,53439,7840,360,1538,4247,522,138,1563,0,16208,0,603,3084,3748,1189,414,650,285,1974,302,581,3754,1262,5624,23471,13440,3864,3583,20887,7743,0,21936,0,5380,23116,10253,265,401,4389,0,301,32435,0,106219,35059,38424,73483,32736,106219,6585,13839,27750,38060,2084,3119,5066,0,8583,1133,106219,52,20,14,10,7432,0,25178,0,5380,22880,11281,265,752,4389,392,301,28630,0,106878,37989,39958,77948,28931,106878,6614,13853,26398,37388,1753,2990,6218,141,9620,1903,106878
138,Limão,2395,2440,7855,1290,12057,1466,33392,34557,172,4062,3793,7855,8050503,3299,1025,2700,1615,4140,1121,801,178,7855,11410,1181,2285,11197,0,0,1007,0,27080,0,888,4241,5536,733,0,0,1198,943,196,1720,792,0,4642,20887,10980,336,741,12057,1307,1121,5075,0,1665,8683,2850,44,714,528,0,35,11371,0,33392,9167,12818,21986,11406,33392,3548,2727,13400,6190,3126,684,894,0,1007,1815,33392,58,29,11,15,1408,1121,4484,0,1696,8721,4379,44,454,528,0,35,11686,0,34557,8709,14126,22835,11721,34557,3463,2436,13411,6086,3074,471,2362,0,950,2304,34557
139,Jardim Primavera,8140,8140,24309,6250,14168,4938,62094,63023,193,9858,14451,24309,29712701,3650,1222,3000,5571,8432,7352,2953,0,24309,2696,277,0,630,21,0,199,0,3823,0,38,2326,1705,998,58,1475,142,1677,245,282,37,1147,1925,12057,12363,675,1130,14168,3461,908,18051,0,3306,11852,4168,0,607,0,0,531,19211,0,62094,25726,16627,42353,19742,62094,4215,5237,15192,18669,5047,3879,3209,0,3983,2664,62094,55,23,9,54,3621,908,16919,0,3462,12801,4875,0,607,0,0,531,19301,0,63023,24910,18282,43192,19832,63023,5384,5461,15716,19768,3526,3879,3053,0,4744,1494,63023
140,Vila Santa Maria,15199,15199,47391,11154,16237,8582,90857,89826,278,23631,23760,47391,50650792,3333,1069,3000,11893,19144,14680,956,718,47391,8000,0,0,2446,232,232,393,232,11534,0,301,4367,1872,0,85,186,270,0,2537,857,451,28,3215,14168,9381,2352,4503,16237,7224,1152,14212,647,1342,10498,2900,0,392,3620,0,1500,47242,130,90857,24576,17539,42115,48742,90857,3679,4928,23302,45725,4688,1337,2840,166,3473,719,90857,63,28,10,46,5917,670,15212,647,1310,10650,3023,0,554,3620,0,1500,46593,130,89826,23756,17977,41733,48093,89826,3741,4747,22286,45602,5030,1363,2159,166,3130,1602,89826
141,Cachoeirinha,26057,26621,79276,20536,21853,16038,160498,160705,479,40653,38623,79276,96202633,3614,1214,3573,11661,35610,27300,4705,0,79276,11717,2495,1533,7368,134,134,437,319,24137,0,302,3592,2956,0,346,0,256,1491,28,1241,134,0,5889,16237,15699,2461,3693,21853,9901,530,36923,0,8660,31603,8643,300,1082,891,0,1785,57830,2350,160498,56014,44869,100883,59615,160498,4345,12212,40781,76179,5536,5318,1143,1488,13060,438,160498,55,21,12,36,11678,0,38030,0,8660,31303,6630,300,352,982,0,1785,58635,2350,160705,58369,41917,100286,60420,160705,3393,11805,40726,75120,8285,5318,1698,1488,12132,741,160705
142,Jardim Peri,20266,20266,66324,6352,17674,10024,97862,98199,444,31751,34573,66324,53329785,2631,804,2500,21814,30391,11674,1796,648,66324,17378,2504,3234,7410,0,377,1351,0,32253,0,1148,380,2590,259,3452,976,1424,2813,1039,2895,1019,388,3469,21853,9044,3551,5079,17674,3377,0,23149,0,7381,13003,7710,0,0,1281,0,0,39979,1983,97862,33906,23977,57883,39979,97862,2130,8621,29323,42473,6803,3150,1260,298,3805,0,97862,50,23,10,0,2836,0,22772,0,7381,13003,8148,0,0,1281,0,0,40429,2350,98199,32988,24782,57770,40429,98199,2056,9349,27181,45379,6097,3150,1201,298,3415,74,98199
143,Reserva da Cantareira,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,13832,5221,947,10999,1068,0,2020,0,34088,0,591,1181,3407,777,1211,0,1480,3589,0,839,591,0,4008,17674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Mandaqui,36483,36483,104526,11677,30090,29568,163855,163687,552,49919,54607,104526,175282148,4804,1677,3391,14486,35517,26550,11485,16488,104526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20427,3662,6000,30090,12471,0,40066,190,9336,42661,19428,1696,1480,1498,129,0,34902,0,163855,62062,66891,128954,34902,163855,4956,13376,50736,51231,13714,6554,9898,742,11766,882,163855,50,31,13,0,14761,0,42369,190,10291,43005,17095,0,830,1498,0,0,33647,0,163687,67611,62429,130039,33647,163687,5619,12637,49233,52535,13737,6504,11246,807,10784,586,163687
145,Horto Florestal,1504,1575,4480,3544,2392,1398,19530,20272,342,2181,2299,4480,8057632,5117,1799,4443,83,1075,2732,316,274,4480,26185,1355,3568,14261,2332,1455,0,0,49155,0,2036,554,5787,0,3777,114,3395,1529,3354,900,1922,19,6701,30090,1839,162,391,2392,866,0,4153,0,1973,4358,3601,0,31,1093,333,1513,1610,0,19530,6992,9416,16407,3123,19530,1008,346,4288,10620,174,246,2742,0,94,11,19530,47,19,7,40,746,0,2091,0,1973,4358,4457,0,1055,1093,333,1513,2653,0,20272,4810,11296,16106,4166,20272,984,322,4183,10597,219,246,2694,0,1027,0,20272
146,ETA Guaraú,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,75,242,652,115,32,97,0,2415,0,321,25,131,32,82,0,87,0,0,49,0,84,1581,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Parque Palmas do Tremembé,10874,10874,33902,4625,13311,8915,73489,72374,407,14297,19605,33902,44642901,4105,1317,3391,1369,20248,6955,5235,94,33902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11323,1136,851,13311,5995,0,14869,0,3217,14058,4096,140,178,304,0,1513,29118,0,73489,24081,18777,42858,30631,73489,5094,4348,27172,20917,5871,119,3667,0,6240,62,73489,47,21,11,60,5402,0,16488,0,3217,13939,3919,140,63,304,129,1513,27261,0,72374,25107,18493,43600,28774,72374,5094,4966,26017,20268,6135,119,5150,0,4573,53,72374
148,Tremembé,7809,7809,22869,6903,7836,4431,48887,48864,332,11080,11789,22869,20046654,2567,877,2000,5565,10845,4728,1409,321,22869,9882,1617,67,5548,141,175,141,0,17571,0,690,501,2149,0,4346,0,1364,1349,0,1165,47,0,1699,13311,4865,1432,1539,7836,1989,0,9824,0,1295,7296,7093,0,75,520,0,350,20445,0,48887,13108,14984,28092,20795,48887,3615,2055,9838,25557,615,1172,4967,0,1004,63,48887,44,18,13,30,1697,0,9538,0,1295,7296,7693,30,0,520,0,350,20445,0,48864,12530,15539,28069,20795,48864,3374,2081,9700,25588,767,906,5057,0,1267,124,48864
149,Cantareira,0,0,0,0,68,0,428,428,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,3836,786,380,3620,167,931,657,0,10378,0,292,645,1886,213,0,0,0,729,107,199,426,0,3340,7836,68,0,0,68,0,0,0,0,0,78,0,0,0,0,0,350,0,0,428,0,78,78,350,428,78,0,0,0,0,0,0,0,350,0,428,0,60,0,30,0,0,0,0,0,78,0,0,0,0,0,350,0,0,428,0,78,78,350,428,78,0,0,0,0,0,0,0,350,0,428
150,Jardim das Pedras,15291,15291,51558,7628,10269,6703,62178,63545,1609,23149,28409,51558,36754323,2404,713,2400,17768,31071,2719,0,0,51558,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,68,4272,1643,4355,10269,4330,90,20575,0,2496,4571,3823,0,1286,2413,0,0,22133,460,62178,27492,12553,40045,22133,62178,5410,5038,13730,26193,2504,2889,3983,317,2114,0,62178,58,30,13,0,4330,90,20223,0,2496,4571,4793,0,502,2413,0,0,23667,460,63545,27140,12738,39878,23667,63545,5907,5249,14602,25637,2294,2889,4565,317,2086,0,63545
151,Jardim Guapira,33624,33624,109629,15201,21011,16770,179033,179178,549,50134,59495,109629,93477957,2780,853,2454,19780,72076,15662,1168,942,109629,10369,2403,882,7273,0,406,960,277,22570,0,2950,2475,1343,406,406,0,0,874,0,0,450,0,1366,10269,12122,3498,5391,21011,11653,0,33825,0,4870,30008,13525,0,3017,3683,874,1556,76023,0,179033,50348,51106,101454,77579,179033,11000,7440,45279,75390,11606,9768,5629,1591,10989,342,179033,63,17,12,37,13105,0,33514,0,4432,30132,14270,170,3017,3683,874,1556,74425,0,179178,51051,52145,103196,75981,179178,11055,6940,44036,75672,13711,9768,2508,1591,13896,0,179178
152,Parada Inglesa,12154,12154,35169,12759,14573,6875,79982,79456,243,16077,19092,35169,44538817,3665,1266,3500,11622,9106,12390,776,1275,35169,25995,1492,0,17657,136,0,2217,0,47497,0,4286,2296,3754,0,18,985,2260,835,861,425,779,93,4419,21011,10441,3527,605,14573,12181,0,9381,0,2153,15418,10237,0,193,498,0,272,29650,0,79982,23715,26345,50061,29921,79982,3518,2512,24973,30669,5876,1292,2967,0,7903,272,79982,44,23,12,20,10769,0,8908,0,2153,15141,14448,0,380,498,0,272,26886,0,79456,21831,30468,52299,27158,79456,3464,2143,22992,34040,5982,1411,2748,0,4950,1725,79456
153,Tucuruvi,5703,5703,16284,8218,10765,5640,41115,41426,359,8556,7728,16284,37593002,6592,2309,5700,738,2499,8107,2088,2851,16284,8002,0,892,5851,605,911,331,0,16592,0,1006,874,3359,0,440,532,0,1331,1195,679,745,1056,3356,14573,8724,1429,612,10765,5594,0,12511,0,1352,12618,2939,170,35,303,270,0,5323,0,41115,19457,16336,35793,5323,41115,1476,1290,15942,12054,3611,2058,2390,0,2293,0,41115,48,28,10,0,5315,0,11923,0,1622,12277,4188,170,35,303,0,0,5323,270,41426,18860,17243,36103,5323,41426,998,1290,16177,12428,2736,2151,2853,0,2540,253,41426
154,Vila Gustavo,15797,15797,45465,9330,17162,13605,101086,100300,346,22392,23073,45465,69511477,4400,1529,3200,7879,11908,12992,5211,7475,45465,2345,134,2176,1860,0,805,636,0,7956,0,216,0,633,0,345,0,439,1061,3381,1469,840,557,1824,10765,12727,2430,2005,17162,12785,0,21150,0,1554,28052,17062,143,0,3152,0,0,17188,0,101086,35490,48408,83898,17188,101086,6663,4611,27129,28061,11269,5105,4801,0,11891,1555,101086,53,23,11,0,13868,0,19747,0,1721,27707,13183,143,0,3152,270,0,20508,0,100300,35336,44455,79792,20508,100300,6663,2925,28978,26086,9400,2796,7713,662,14434,643,100300
155,Cohab Jova Real,9265,9265,32242,3982,6320,4587,42598,42604,255,14249,17993,32242,25706247,2775,797,2500,8288,16706,5701,1547,0,32242,13698,1061,199,6578,0,398,531,0,22465,0,730,4576,942,531,1599,0,122,1315,199,941,882,597,4729,17162,3541,1780,999,6320,1935,0,7744,192,4355,5554,2011,0,481,1360,254,423,18236,53,42598,14226,9713,23939,18659,42598,1466,4220,8888,17346,1823,1865,3505,886,2431,168,42598,45,27,15,15,1796,0,8447,0,4355,5554,1836,0,290,1360,254,423,18183,105,42604,14599,9399,23998,18606,42604,1634,4220,8320,17708,2008,1865,3533,886,2431,0,42604
156,Jaçanã,14464,14464,43910,12216,17611,11083,88608,88273,386,23514,20396,43910,48106897,3326,1096,3300,10428,15312,17831,339,0,43910,5339,1194,256,3292,0,0,866,246,11193,0,425,487,1163,502,256,0,256,262,0,474,0,0,2496,6320,12778,3762,1071,17611,4957,0,26327,0,3257,16454,10177,0,45,1972,338,1293,23788,0,88608,34541,28986,63527,25080,88608,4750,6044,20998,36388,10066,8082,303,317,1587,73,88608,49,19,11,38,4967,0,25029,0,3257,16454,11566,0,0,1810,338,1293,23559,0,88273,33254,30168,63422,24851,88273,5333,5386,20966,36549,10070,7341,367,317,1944,0,88273
157,Parque Edu Chaves,6230,6230,19629,4884,6985,2576,34206,34594,110,9362,10267,19629,22004878,3532,1121,3213,1770,9403,7137,1319,0,19629,8930,1452,836,5413,522,0,491,0,17646,0,680,1832,3528,564,0,195,439,987,3324,1826,941,1465,1830,17611,3852,1301,1833,6985,4177,0,5143,0,1864,8805,1770,0,0,922,214,356,10135,821,34206,11183,12532,23715,10491,34206,1959,4217,8550,14970,1548,778,807,0,1377,0,34206,57,18,10,15,3949,0,4929,0,2121,9745,2305,0,196,768,214,356,9189,821,34594,10999,14050,25049,9545,34594,2212,4217,7114,15571,1548,778,807,0,2004,342,34594
158,Vila Medeiros,19961,19961,60459,8069,7928,9458,74903,75869,335,20707,39752,60459,83100701,4163,1374,3580,11746,16981,21816,4255,5662,60459,3875,437,271,3360,281,136,314,0,8675,0,585,783,1212,136,136,0,153,550,202,1388,271,0,1569,6985,4703,1376,1848,7928,10304,0,15628,0,4151,13827,3835,0,628,1058,0,356,25115,0,74903,30084,19348,49432,25470,74903,3143,5265,12378,32526,5720,6499,4456,0,4861,55,74903,48,30,16,15,11426,0,16484,0,3894,13827,3418,0,744,1058,0,356,24662,0,75869,31804,19047,50851,25018,75869,3143,5127,12627,32314,5895,6524,4891,0,5157,193,75869
159,Jardim Brasil,20206,20206,64171,9562,29203,10555,101954,100394,454,30296,33875,64171,60988863,3018,950,2589,19864,25254,16673,1988,392,64171,8512,914,3823,1828,0,934,0,0,16011,0,274,926,1589,0,0,0,0,452,462,916,934,0,2374,7928,19152,7274,2776,29203,2050,677,17353,372,7265,22253,12016,0,196,1266,0,0,38507,0,101954,27716,35731,63447,38507,101954,11254,17128,20905,30931,7981,3537,2104,856,6678,580,101954,48,22,8,0,2566,677,18182,41,7265,21467,9452,0,0,1266,0,0,39478,0,100394,28730,32186,60916,39478,100394,10671,18365,21632,31033,7195,3989,1278,856,5376,0,100394
160,Jardim Japão,17245,17245,50672,6996,12697,11537,55473,53498,396,21731,28941,50672,64733583,3754,1278,3000,8954,24110,9916,4302,3390,50672,9087,815,1388,13974,815,0,1634,0,27714,0,1539,6093,5558,2370,3101,0,694,2751,0,1664,439,0,4993,29203,7849,2356,2491,12697,3007,0,14013,0,5572,10566,5758,0,0,579,0,0,15674,304,55473,22592,17207,39799,15674,55473,3834,2453,17572,18366,2371,3384,2478,0,4409,607,55473,46,27,17,0,2403,0,14448,0,5572,10200,4247,0,71,579,0,0,15674,304,53498,22423,15401,37824,15674,53498,3794,2453,17055,17371,2371,2657,4288,0,2589,920,53498
161,Parque Novo Mundo,14724,14724,47297,6425,33206,8274,122575,121963,551,20110,27187,47297,38908774,2643,823,2200,14079,25607,5771,0,1840,47297,10350,359,1181,5631,137,885,0,0,18543,0,1167,266,1440,302,443,0,136,787,614,1098,1668,199,4577,12697,29776,1721,1709,33206,6212,1256,18416,161,2114,24787,16177,46,298,2064,338,6112,44325,270,122575,28158,43980,72138,50437,122575,10498,13416,38169,31805,3225,15665,3341,1598,3558,1300,122575,70,25,9,10,6035,895,18754,0,2114,24782,15256,46,605,2305,338,6112,44721,0,121963,27798,43331,71130,50834,121963,10498,13118,38786,28550,3490,17077,3355,1598,4291,1201,121963
162,Vila Maria,5467,5467,15842,22073,17823,3457,68261,68767,234,7530,8312,15842,18935666,3464,1195,3044,1554,9207,3662,370,1049,15842,13004,2010,622,6592,0,384,998,0,23609,0,493,4483,6001,7443,0,0,491,2207,5423,951,706,261,4748,33206,15910,1520,394,17823,2334,1383,19947,444,2968,13146,5871,0,634,941,0,1192,19008,395,68261,27076,20986,48061,20199,68261,4843,4036,20196,27965,1234,1712,1938,542,5500,295,68261,62,31,14,18,2421,896,20108,444,3139,12389,6646,0,634,1569,0,1192,18660,670,68767,27007,21909,48916,19852,68767,5016,4042,19712,29141,1234,1848,1897,0,5581,295,68767
163,Vila Isolina Mazzei,16125,16125,47519,6509,17319,13020,96569,97522,380,21244,26275,47519,73999513,4589,1557,3778,3288,15137,17536,7346,4212,47519,3537,888,470,2499,208,54,741,0,8398,0,1556,4164,4312,662,0,302,295,2262,479,444,0,979,2368,17823,13615,2494,1211,17319,6279,0,16785,0,2739,21517,23898,0,796,407,0,5606,17019,1522,96569,25803,48140,73943,22626,96569,2180,10535,27853,28726,3238,6644,6508,0,9963,923,96569,52,21,12,10,9304,0,14116,0,2739,22127,23827,0,326,407,0,5606,17547,1522,97522,26160,48209,74369,23153,97522,2201,9516,31399,30112,3349,6158,5813,0,8255,719,97522
164,Vila Guilherme,1879,1879,5849,2435,10506,1182,25920,25735,171,2908,2941,5849,6512056,3466,1113,3500,760,2315,2694,79,0,5849,12304,2466,1603,4183,758,421,969,0,22704,0,555,1471,2066,2759,1603,531,48,758,0,371,1046,632,5481,17319,9511,578,417,10506,1498,2049,4667,0,435,6959,2540,0,0,141,0,1520,5835,276,25920,8649,9916,18565,7355,25920,1940,4371,7850,5144,1391,443,3031,175,1246,328,25920,75,47,14,16,923,2049,5652,0,502,6939,2131,0,0,141,0,1520,5878,0,25735,9126,9211,18337,7398,25735,2468,4320,7265,5168,1454,629,2684,175,1300,270,25735
165,Coroa,1075,1075,3184,3965,14333,603,37176,37562,174,1443,1741,3184,4227697,3933,1328,3213,597,721,1596,161,109,3184,1478,200,96,1167,25,48,176,0,3191,0,96,2008,2666,1734,96,0,43,599,15,0,712,111,2425,10506,13873,236,224,14333,6106,18,10361,32,178,10923,1173,165,1391,2115,0,57,4656,0,37176,16695,15767,32463,4714,37176,1420,9319,10367,6136,2623,265,2752,352,1746,2196,37176,60,31,8,10,5840,18,12057,0,178,10923,942,329,410,2115,0,104,4645,0,37562,18093,14720,32813,4749,37562,351,10457,11809,4755,3877,181,1757,352,2206,1816,37562
166,Gomes Cardim,12310,12310,32876,22803,30353,10289,120136,119328,243,15063,17813,32876,65122331,5290,1981,5299,0,9692,18008,5177,0,32876,616,55,28,654,0,0,74,110,1537,0,141,25,8349,817,45,0,342,1990,847,456,12,305,1004,14333,26363,1931,2059,30353,19506,5719,20420,0,7022,25628,12232,28,1727,4497,961,0,22396,0,120136,52667,45073,97740,22396,120136,4436,12255,43262,34244,2816,9758,4492,1449,4807,2617,120136,62,28,14,0,21006,6389,17849,0,5959,24933,14767,51,520,4497,961,0,22396,0,119328,51203,45729,96932,22396,119328,4941,12092,39632,38012,2595,9996,4117,1384,4140,2418,119328
167,Tatuapé,6493,6493,17440,8719,37493,6142,116962,118134,157,9065,8375,17440,31144803,4797,1786,4443,1972,2739,9657,2362,710,17440,7587,1721,1023,3599,1375,1582,760,0,17646,0,606,941,6957,0,914,1489,843,2166,2936,2903,2636,560,7402,30353,35393,1333,767,37493,22138,8268,23773,0,1569,27639,7836,52,1290,1262,290,660,22185,0,116962,55747,38369,94117,22845,116962,5376,18252,38270,21762,5044,8744,7995,465,7028,4026,116962,68,33,11,20,22693,10174,22115,0,1569,28147,8118,52,968,1262,290,660,22087,0,118134,56551,38837,95388,22747,118134,6133,20840,39692,18382,4677,9899,8531,465,5415,4099,118134
168,Chácara do Piqueri,8579,8579,22502,7413,22159,6533,74134,74079,199,10207,12295,22502,41632850,4853,1850,4209,1404,6735,11879,983,1502,22502,4297,715,139,1941,0,891,697,0,8681,0,538,2027,13933,472,279,579,1471,2892,4192,2015,4360,1437,3298,37493,20131,1543,485,22159,15186,8581,9272,204,814,13797,6954,199,0,1214,166,0,17490,257,74134,34056,22587,56643,17490,74134,2725,5293,29620,18361,3093,3496,3043,2584,4046,1871,74134,66,30,12,0,13193,7765,10403,338,1226,14432,7048,0,0,1214,166,0,18037,257,74079,32925,23117,56042,18037,74079,1865,4861,31189,18381,1407,4538,2849,2901,3816,2271,74079
169,Parque São Jorge,8157,8157,22460,44340,19028,8769,86022,87276,252,10986,11474,22460,44423972,5446,1978,5224,1766,5665,6306,6077,2646,22460,7245,1012,534,2679,89,627,180,0,12366,0,516,1504,3115,0,430,2495,889,803,2500,2494,2907,1110,3397,22159,16024,1403,1602,19028,27648,1950,18987,0,1424,15977,5316,0,50,974,437,653,12228,379,86022,50008,23133,73141,12881,86022,4584,4597,21677,43264,2599,2720,1033,0,3621,1926,86022,68,24,11,10,26454,2323,20479,0,1484,16201,5482,0,50,974,437,653,12360,379,87276,50740,23523,74263,13013,87276,5131,4111,22444,45105,2529,2720,1073,0,2327,1837,87276
170,Penha,11594,11594,34693,12887,19867,7112,97701,97305,384,15297,19396,34693,40665017,3507,1172,3000,8123,16182,7848,1343,1197,34693,7181,350,596,2904,253,395,1057,0,12735,0,715,1581,2634,37,290,731,964,231,2417,1316,497,1177,6438,19028,18711,665,492,19867,13109,945,26964,353,4518,17089,8115,172,241,1212,0,838,22526,1618,97701,45890,28446,74337,23364,97701,5851,5363,25811,26855,5916,10044,3547,840,12842,630,97701,54,36,15,14,14641,945,27570,353,4518,16719,6423,172,619,1212,0,838,23292,0,97305,48029,25146,73175,24130,97305,6605,4711,25727,26337,5971,8838,4594,840,12446,1235,97305
171,Tiquatira,14372,14372,40666,7653,14810,9459,81281,81162,324,20084,20582,40666,48743936,3392,1199,2715,6355,20675,6989,4657,1990,40666,8639,1230,1159,1849,126,646,645,0,14294,0,1344,2170,3932,840,646,1045,630,739,1028,1995,643,1006,3850,19867,10800,827,3183,14810,12219,0,21009,247,1977,15076,6279,487,336,1073,0,0,22453,126,81281,35452,23377,58829,22453,81281,3189,7874,19873,26272,8153,5497,4520,0,5796,109,81281,50,26,13,0,12478,0,23540,247,1977,15076,4993,441,193,1073,0,0,21018,126,81162,38242,21903,60144,21018,81162,2942,8197,20744,24982,7868,5250,4484,0,6538,158,81162
172,Vila Esperança,9253,9253,26788,6530,11408,6818,52567,51976,229,9998,16790,26788,39658449,4286,1480,3213,2047,10561,9192,4551,438,26788,9410,455,3229,6738,0,218,437,0,20487,0,900,40,3155,614,0,249,921,743,1744,1033,1291,228,3892,14810,8019,1595,1793,11408,6979,0,9782,0,1701,13331,6544,111,759,149,0,902,12310,0,52567,18462,20894,39356,13212,52567,2281,6820,9164,17596,6506,2402,3273,0,4030,495,52567,50,21,16,20,6326,0,10514,0,2093,13093,5786,111,1458,149,0,902,11545,0,51976,18933,20596,39529,12447,51976,1973,7078,9186,20280,6420,2113,2315,0,2382,228,51976
173,Vila Ré,8982,8982,26818,4996,9021,4730,45559,45117,208,12575,14243,26818,30053611,3346,1121,2884,3627,11633,10602,0,956,26818,5004,0,1125,3730,0,107,0,0,9966,0,867,1650,4541,0,0,107,451,118,431,197,705,464,1876,11408,7125,593,1304,9021,9998,0,4415,0,1161,6039,3051,0,0,1070,0,902,18923,0,45559,15575,10160,25735,19824,45559,4798,3731,13984,17382,2104,652,712,272,1643,281,45559,63,25,13,20,10117,47,4527,0,769,6039,3713,0,0,1070,0,902,17932,0,45117,15461,10823,26283,18834,45117,4028,3707,13318,17637,2104,659,964,272,2147,281,45117
174,Rui Barbosa,15839,16194,48886,14856,10106,8475,86239,86039,271,22442,26444,48886,45029056,2781,921,2884,5279,36490,7118,0,0,48886,6241,960,733,4400,240,0,14,0,12588,0,523,3273,244,57,0,315,62,1376,0,704,210,0,2257,9021,4608,2160,3338,10106,8144,1162,16067,0,7049,8385,3029,549,1014,992,0,1014,38558,276,86239,32422,14244,46666,39572,86239,4222,4695,21141,44827,2448,963,5135,0,2807,0,86239,53,30,11,15,6784,697,17569,0,6863,8385,3728,315,315,992,0,1014,39102,276,86039,31913,14011,45924,40115,86039,4222,5067,19902,45546,2448,963,5135,0,2756,0,86039
