zona,nomeZona,domicilios,familias,populacao,matriEscolar,empregos,autoParticular,viagProduz,viagAtraid,areaZona,popMasc,popFem,popTotal,renTotalZona,renMedFam,renPerCap,renMedianFam,rendF1,rendF2,rendF3,rendF4,rendF5,rendTotal,res_assCom,res_assSem,res_funPublico,res_autonomo,res_empregador,res_profLiberal,res_negFamiliar,res_trabFamiliar,res_total,emp_agro,emp_constCivil,emp_indus,emp_comercio,emp_transCarg,emp_transPass,emp_financeiro,emp_servPessoais,emp_alimenta,emp_saude,emp_educa,emp_especializ,emp_admPubli,emp_outros,emp_total,emp_foraRes,emp_dentrRes,emp_semEnd,emp_total,vp_metro,vp_trem,vp_bus,vp_fretado,vp_escolar,vp_dirigindoAuto,vp_passAuto,vp_taxiCom,vp_taxiNCom,vp_dirigindoMoto,vp_passMoto,vp_bike,vp_pe,vp_outros,vp_total,vt_coletivo,vt_individual,vt_motorizado,vt_naoMotorizado,vt_total,mo_traIndus,mo_trabCome,mo_trabServ,mo_educacao,mo_compras,mo_saude,mo_lazer,mo_procEmp,mo_assunPesso,mo_refeicao,mo_total,tmv_coletivo,tmv_individual,tmv_pe,tmv_bike,vtra_metro,vtra_trem,vtra_bus,vtra_fretado,vtra_escolar,vtra_dirigAuto,vtra_passAuto,vtra_taxiCon,vtra_taxiNCon,vtra_dirigMoto,vtra_passMoto,vtra_bike,vtra_pe,vtra_outros,vtra_total,vtra_coletivo,vtra_individual,vtra_motorizado,vtra_naoMotorizado,vtra_total,vtra_trabIndus,vtra_trabCome,vtra_trabServ,vtra_educacao,vtra_compras,vtra_saude,vtra_lazer,vtra_procEmpr,vtra_assunPesso,vtra_refeicao,vtra_total
11,Bom Jardim,932,932,2713,1471,3901,488,11403,11381,50,1408,1305,2713,3239452,3476,1194,3000,421,1268,735,169,120,2713,758,73,37,518,19,37,0,0,1444,0,0,1596,1139,344,36,0,59,0,0,0,286,0,441,3901,3363,377,161,3901,340,14,2971,0,558,2210,2429,0,19,1086,0,83,1693,0,11403,3884,5743,9627,1776,11403,1782,2362,2877,3036,182,158,107,0,845,55,11403,68,29,13,15,318,14,2983,0,558,2187,2411,22,19,1086,0,83,1700,0,11381,3874,5724,9598,1783,11381,1782,2257,2873,3198,205,146,88,0,833,0,11381
12,Pari,4741,4741,14381,1928,21068,2085,46136,44924,140,7182,7199,14381,16593524,3500,1154,2589,1546,8595,2456,1366,418,14381,2588,1109,0,1459,261,0,1479,0,6896,0,7,3135,10794,1148,28,0,7,1760,1450,305,311,56,2065,21068,19708,1117,243,21068,4014,6032,7913,68,747,4842,2875,11,461,1290,0,1293,15515,1077,46136,18773,10554,29328,16808,46136,5870,14308,11076,6547,2513,1536,1041,403,2123,719,46136,80,40,11,19,3720,5533,7963,68,747,4770,3025,0,214,1290,0,1293,15225,1077,44924,18031,10375,28405,16518,44924,5278,15756,10768,5954,2538,1022,280,403,2231,691,44924
13,João Teodoro,423,423,1435,266,9281,103,25131,24562,39,706,729,1435,1155117,2731,805,2550,313,913,209,0,0,1435,236,168,15,337,12,11,55,15,849,0,524,1117,6930,0,0,0,11,69,0,11,0,0,619,9281,9041,174,66,9281,1970,6276,3933,241,34,3610,4257,186,466,0,0,38,4120,0,25131,12454,8519,20972,4158,25131,2546,9701,2517,1124,4850,46,43,172,3775,356,25131,88,29,10,10,2067,6333,3431,241,34,3318,3964,144,813,0,0,38,4178,0,24562,12106,8239,20345,4217,24562,2546,10186,2424,719,4307,46,62,172,3732,367,24562
14,Oriente,1104,1104,3337,1959,27939,329,66496,66780,70,1373,1964,3337,3254031,2947,975,2733,328,2431,579,0,0,3337,1112,183,38,597,66,40,112,0,2148,0,322,6909,15586,237,47,826,0,845,825,0,549,16,1778,27939,27714,14,211,27939,5992,13684,15006,1544,148,7268,5630,121,1072,457,0,82,15493,0,66496,36373,14547,50921,15575,66496,9133,25270,7604,3672,14569,404,252,1440,1481,2673,66496,78,58,10,11,6745,13364,14486,1544,148,7847,5656,0,999,457,13,82,15439,0,66780,36287,14972,51259,15521,66780,9182,25039,7211,3631,14504,367,252,1440,1481,3675,66780
15,Bresser,3148,3247,8427,162,14171,897,36167,36241,77,4176,4251,8427,8881359,2735,1054,2500,2377,4384,1382,284,0,8427,1691,695,0,2153,0,47,298,158,5042,0,310,3492,2954,0,3813,73,17,60,657,0,348,0,2448,14171,12970,610,592,14171,8933,5499,6337,0,858,3502,1733,0,0,480,0,253,8571,0,36167,21628,5715,27342,8824,36167,4679,7558,9862,3313,4641,740,216,143,4121,894,36167,79,35,14,14,8374,5811,6535,0,772,3171,1848,0,0,480,0,253,8997,0,36241,21491,5500,26991,9250,36241,4259,7392,11167,2991,4371,942,211,143,3861,905,36241
16,Brás,4589,4589,12117,3420,18484,2246,48647,48197,109,4716,7401,12117,14719349,3208,1215,3044,220,9697,2201,0,0,12117,2954,847,576,980,134,114,724,72,6399,0,185,1749,3151,159,58,1764,60,1400,0,735,933,2582,5709,18484,17545,881,58,18484,14052,5118,5599,0,722,6492,685,126,265,147,0,1046,14023,371,48647,25492,8086,33578,15069,48647,1996,6413,18780,7090,4877,832,1196,326,4486,2651,48647,68,43,12,28,13817,4498,6246,0,644,6294,383,122,399,147,0,1046,14232,371,48197,25205,7715,32920,15278,48197,2305,6690,20292,6572,4687,832,1039,326,4084,1371,48197
17,Gasômetro,2411,2430,6980,5504,9361,597,31625,31507,69,3390,3590,6980,7399420,3045,1060,3000,1139,3690,1963,188,0,6980,1944,435,193,1275,137,0,56,0,4040,0,0,131,6201,0,39,0,165,537,31,528,123,0,1607,9361,8476,357,528,9361,6416,2533,5882,24,103,3745,706,170,376,636,85,295,10653,0,31625,14957,5719,20676,10949,31625,1411,9166,6182,9291,2113,229,890,0,1574,768,31625,72,37,11,17,7267,1381,6384,24,181,3553,651,94,376,636,72,295,10592,0,31507,15237,5384,20620,10887,31507,1102,9831,5605,9003,2106,714,405,0,1651,1089,31507
18,Independência,6592,6592,19240,3762,24090,3672,74507,73238,254,9962,9278,19240,33426649,5071,1737,3778,1846,7708,5919,1866,1900,19240,4580,793,709,3239,346,411,219,0,10296,0,807,6950,4421,157,46,2006,0,719,1230,794,1414,1474,4071,24090,22613,845,632,24090,7747,4368,16377,319,524,16255,5892,330,1333,178,0,545,19707,932,74507,29335,24921,54255,20252,74507,10003,9860,22077,15825,1960,4141,2075,0,5725,2842,74507,76,31,13,19,7603,3206,16743,319,648,15734,5667,330,1385,178,0,545,19947,932,73238,28519,24226,52745,20492,73238,10491,10484,21612,14912,2224,4082,1800,0,4778,2856,73238
19,Cambuci,7490,7490,20732,4590,16448,5235,57680,57903,140,9382,11350,20732,39806787,5315,1920,4949,1321,6052,9723,2589,1047,20732,4783,1233,468,2798,0,473,1600,0,11357,0,0,578,4299,0,183,401,800,936,2084,1430,1260,1173,3304,16448,13583,1943,921,16448,4251,329,11576,156,1402,15890,9082,294,1109,2130,0,226,11235,0,57680,17714,28505,46219,11461,57680,1520,6859,19684,16525,1670,7442,1456,0,2362,162,57680,66,24,11,90,4151,329,12593,156,1322,15931,8953,256,821,2251,0,226,10914,0,57903,18551,28212,46762,11140,57903,1886,6821,19353,16725,1519,8943,1421,0,1010,225,57903
20,Glicério,9042,9042,23063,3614,8159,6862,47083,46030,108,11285,11778,23063,53798444,5950,2333,4800,1932,5144,7154,6751,2081,23063,6901,971,1077,2816,593,1485,0,0,13843,0,77,38,1531,0,448,0,365,396,737,982,175,617,2792,8159,4469,1683,2007,8159,4640,576,11132,0,888,9708,3226,112,948,1209,265,212,14167,0,47083,17236,15468,32704,14379,47083,1530,3406,12310,15125,1891,3201,2355,620,5967,678,47083,49,21,15,10,4074,576,10082,0,888,9983,3271,191,1060,1209,0,212,14483,0,46030,15621,15714,31335,14694,46030,1618,2938,11363,13544,3584,2316,2817,615,6177,1058,46030
21,Aclimação,7404,7404,18691,3860,9685,5517,44431,44318,114,9503,9188,18691,43730165,5906,2340,6143,1707,2294,7530,5677,1484,18691,3772,575,773,2357,502,1707,664,0,10350,0,219,36,579,0,0,273,2500,760,209,814,596,0,3699,9685,6854,1932,899,9685,5046,0,7801,0,471,10512,6370,531,2340,1495,0,160,9599,106,44431,13318,21354,34672,9759,44431,359,1891,17323,15455,3482,1445,1681,201,2355,238,44431,54,20,9,30,5696,0,7349,0,543,10352,5612,1243,2373,1495,0,160,9389,106,44318,13588,21181,34769,9549,44318,359,1492,17276,16065,2631,2337,1471,630,1819,238,44318
22,Pires da Mota,5996,5996,13623,4513,8425,3263,37043,37239,50,7007,6616,13623,32541950,5427,2389,4000,636,6010,4824,1093,1060,13623,3735,290,887,2211,144,269,32,0,7567,0,59,95,1184,0,436,0,59,32,1622,1187,1047,585,2118,8425,7098,709,618,8425,11279,0,3589,0,187,5460,2890,0,170,1153,0,200,11814,300,37043,15056,9973,25028,12015,37043,630,1582,10049,14398,3636,3218,383,96,2424,628,37043,58,31,16,29,10465,0,4784,0,187,5528,2837,67,265,1032,0,200,11573,300,37239,15436,10029,25465,11773,37239,459,1044,11612,14549,3058,3238,1025,96,1954,203,37239
23,Centro Cultural,2553,2553,5332,33076,17915,1279,74016,73688,33,2574,2758,5332,10538207,4128,1976,3580,63,2954,1878,438,0,5332,1757,325,254,644,0,112,106,0,3198,0,0,0,2003,0,1233,0,0,1367,7702,2489,200,1307,1613,17915,17578,184,153,17915,38573,0,6966,155,148,9449,3432,779,273,2131,0,234,11875,0,74016,45843,16064,61907,12109,74016,1695,4309,22824,27081,828,8510,2818,500,2891,2560,74016,76,47,10,19,39167,0,7410,155,148,9449,2468,974,587,2131,0,234,10963,0,73688,46880,15610,62490,11197,73688,831,5898,19902,29798,519,9225,2268,500,1809,2938,73688
24,Liberdade,5364,5364,11423,53168,17996,1659,89698,89534,59,5178,6245,11423,19459948,3628,1704,3213,1537,5289,3968,135,494,11423,2223,814,521,896,147,204,1012,0,5817,0,525,0,2271,27,251,210,577,1732,1676,1686,1402,2662,4978,17996,17419,417,160,17996,46827,0,9401,0,656,8940,1829,332,504,2188,250,339,18432,0,89698,56884,14043,70927,18771,89698,1391,3395,21697,48289,3714,2297,3400,1016,3364,1135,89698,66,34,11,27,42920,0,11653,0,288,8986,2192,375,421,2143,515,339,19667,37,89534,54861,14668,69529,20005,89534,1645,3586,21547,49409,2503,2490,2532,587,3927,1307,89534
25,Treze de Maio,7996,7996,18401,4010,12142,2582,40630,40829,43,10187,8214,18401,29020381,3629,1577,3044,2726,7999,6607,326,743,18401,7076,1356,308,2883,0,143,173,0,11938,0,1297,347,407,254,0,0,65,1921,19,383,1814,0,5635,12142,9809,1613,720,12142,5430,0,8740,14,0,3719,1648,550,1093,1008,0,570,17860,0,40630,14183,8016,22200,18431,40630,1805,1633,18779,12030,2191,818,880,0,1494,1000,40630,64,25,15,23,5270,0,8117,14,97,3719,1555,418,1114,1008,0,570,18538,409,40829,13498,8223,21721,19108,40829,1957,1346,19551,11491,1789,656,1842,0,1305,892,40829
